signal_date,entry_date,exit_date,ticker,entry_price,exit_price,return,stage1_prob,stage2_prob,exit_reason
2017-02-27,2017-02-27,2017-03-07,006400,124523.50550000001,122379.0,-0.0186958597949205,0.7586867621511201,0.6115843270868825,trend_exit
2017-02-28,2017-02-28,2017-03-08,020150,14835.219500000001,14523.0,-0.022514260742822256,0.7128039920119611,0.6066481994459835,trend_exit
2017-02-28,2017-02-28,2017-03-08,068270,79884.6475,78429.0,-0.019694535173357286,0.6170644508372705,0.5752508361204013,trend_exit
2017-03-09,2017-03-09,2017-03-16,243070,25517.218500000003,25012.0,-0.02126942244900254,0.6353562405830586,0.6994047619047619,trend_exit
2017-03-03,2017-03-03,2017-03-20,064760,33199.725,32850.0,-0.012018171837266722,0.7244523960049116,0.6115843270868825,trend_exit
2017-03-08,2017-03-08,2017-03-21,005290,8703.035,8580.0,-0.015615816781157199,0.6854983331782343,0.5865921787709496,trend_exit
2017-02-23,2017-02-23,2017-03-22,030190,7040.545,7500.0,0.06366055468717269,0.6621023523883551,0.7883597883597884,trend_exit
2017-03-14,2017-03-14,2017-03-23,011780,74611.75,74300.0,-0.00567202886944751,0.6621003358656264,0.6115843270868825,trend_exit
2017-03-14,2017-03-14,2017-03-27,025980,6409.6,6320.0,-0.015458062905641556,0.6383355317237163,0.5743243243243243,trend_exit
2017-03-13,2017-03-13,2017-04-04,003550,60171.1215,64615.0,0.07224322717667819,0.6307216201187047,0.6066481994459835,trend_exit
2017-03-16,2017-03-16,2017-04-04,051910,278917.75,283000.0,0.013114081122481469,0.7030649080080924,0.6115843270868825,trend_exit
2017-03-13,2017-03-13,2017-04-06,180640,16574.825,19550.0,0.17773038327704804,0.7643112732460314,0.7883597883597884,trend_exit
2017-03-10,2017-03-10,2017-04-10,020150,14592.856500000002,16314.0,0.1162673325815271,0.6613746009793552,0.6066481994459835,trend_exit
2017-03-13,2017-03-13,2017-04-10,093370,6445.654,7119.0,0.10280841944044772,0.6417473426449558,0.6066481994459835,trend_exit
2017-03-21,2017-03-21,2017-04-10,069620,79919.70000000001,84400.0,0.05447593021495312,0.720141535070772,0.6994047619047619,trend_exit
2017-03-27,2017-03-27,2017-04-10,014830,50470.592500000006,50857.0,0.006144607872396124,0.640259662030479,0.4981782047035443,trend_exit
2017-03-20,2017-03-20,2017-04-11,004170,181772.25,189500.0,0.04094959489140937,0.6483109122549536,0.6066481994459835,trend_exit
2017-04-04,2017-04-04,2017-04-11,025980,6499.735000000001,6200.0,-0.0475457845589089,0.631647313641186,0.5011792452830188,trend_exit
2017-03-27,2017-03-27,2017-04-12,214450,32849.200000000004,32950.0,0.0015639650280676598,0.7655182085404699,0.7534246575342466,trend_exit
2017-04-13,2017-04-13,2017-04-20,009150,69303.8,67000.0,-0.03469218138110752,0.7613978175594758,0.6462346760070052,trend_exit
2017-04-19,2017-04-19,2017-04-26,010060,63906.7165,62540.0,-0.02285403757209148,0.6977898599603171,0.6221122112211221,trend_exit
2017-04-12,2017-04-12,2017-04-27,029460,12226.312,12292.0,0.0038646159201565222,0.731964857532347,0.5818930041152265,trend_exit
2017-04-18,2017-04-18,2017-04-28,003550,65469.056500000006,63859.0,-0.02605574436527891,0.6989339022968657,0.6221122112211221,trend_exit
2017-04-20,2017-04-20,2017-04-28,003410,2973.4535,2925.0,-0.01777091856321278,0.9147271163705613,0.8392857142857143,trend_exit
2017-04-12,2017-04-12,2017-05-02,066570,69203.65000000001,70400.0,0.01576145188873701,0.6706702301314365,0.5818930041152265,trend_exit
2017-04-17,2017-04-17,2017-05-04,009450,32899.275,35350.0,0.07288002547168593,0.942772511714479,0.5818930041152265,trend_exit
2017-05-04,2017-05-04,2017-05-12,005290,10716.050000000001,9890.0,-0.07846967865958077,0.7154460478409851,0.6462346760070052,stoploss
2017-05-08,2017-05-08,2017-05-16,028300,5758.625,5470.0,-0.05154529075951286,0.9378939302277125,0.8392857142857143,trend_exit
2017-05-04,2017-05-04,2017-05-17,014680,82323.3,80400.0,-0.02482772192076843,0.6652909956733623,0.6221122112211221,trend_exit
2017-05-08,2017-05-08,2017-05-17,068760,15704.5215,15040.0,-0.04375055298564812,0.841726724467286,0.76,trend_exit
2017-04-17,2017-04-17,2017-05-19,008560,3740.6025000000004,4430.0,0.1825247403326069,0.7284725639187952,0.6462346760070052,trend_exit
2017-03-28,2017-03-28,2017-05-22,012510,24236.300000000003,30350.0,0.2503754698530716,0.6928846710480383,0.6994047619047619,trend_exit
2017-04-17,2017-04-17,2017-05-25,041510,24887.275,28650.0,0.14946393287332582,0.7565930803403897,0.8392857142857143,trend_exit
2017-04-26,2017-04-26,2017-05-30,025980,6109.150000000001,6970.0,0.13920021606933863,0.753338908338209,0.6462346760070052,trend_exit
2017-05-02,2017-05-02,2017-05-31,020150,16871.269,21881.0,0.29499319227261456,0.6715110806683184,0.6759776536312849,trend_exit
2017-05-23,2017-05-23,2017-06-02,011780,78317.3,76400.0,-0.02594445927017397,0.6927548111189578,0.6462346760070052,trend_exit
2017-04-17,2017-04-17,2017-06-05,086280,70884.167,77530.0,0.09211560601396362,0.7224348869551227,0.6462346760070052,trend_exit
2017-05-12,2017-05-12,2017-06-05,064760,36154.15,36700.0,0.013575205059446871,0.8323049350430399,0.6759776536312849,trend_exit
2017-05-19,2017-05-19,2017-06-07,009150,78717.90000000001,82900.0,0.05154799607204974,0.767268669101192,0.6759776536312849,trend_exit
2017-05-23,2017-05-23,2017-06-07,051915,188282.0,194000.0,0.028823785598198537,0.6967959458517763,0.5818930041152265,trend_exit
2017-05-26,2017-05-26,2017-06-07,000660,57185.65,56500.0,-0.013471911222483257,0.6353032960741374,0.7666666666666667,trend_exit
2017-05-22,2017-05-22,2017-06-13,081660,14141.18,16080.0,0.13539888467581918,0.8089418954203828,0.75,trend_exit
2017-05-16,2017-05-16,2017-06-21,005290,10515.75,15000.0,0.4242921332287284,0.7541655190674377,0.6462346760070052,trend_exit
2017-05-30,2017-05-30,2017-06-21,108320,31947.850000000002,33400.0,0.04388558228487982,0.7061789669398643,0.8327974276527331,trend_exit
